message_size,actual rtt,recv,sent,lost,retrans,rtt,min_rtt,rttvar,cwnd,sent_bytes,recv bytes,lost_bytes,stream_retrans_bytes,delivery_rate
100000000,2468,11,156,0,0,1043,209,848,212576,199578,2353,0,0,122170536
1,429,3,2,0,0,2096,2096,1048,13822,614,1509,0,0,153613
1000000,720,9,36,0,0,1193,209,1042,53144,40146,2252,0,0,54976589
100,168,5,6,0,0,1670,209,1331,15020,2022,2056,0,0,277070
10,174,4,5,0,0,1879,364,1219,14962,1964,2007,0,0,3129718
10000,281,7,8,0,0,1383,209,1241,16216,3218,2154,0,0,1947354
1000,169,6,7,0,0,1506,209,1327,15168,2170,2105,0,0,390673
10000000,1334,10,76,0,0,1119,209,930,106288,93290,2302,0,0,75457338
1000000000,4798,12,314,0,0,1007,209,709,425152,412154,2404,0,0,99382598
100000,495,8,16,0,0,1311,209,1074,26572,13574,2203,0,0,12627990
